Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
12,GLP,121,7.520199,323,Bannwil,536,137,0.2555970149253731
13,JGLP,8,0.49720323,323,Bannwil,536,137,0.2555970149253731
14,Grüne,102,6.339341,323,Bannwil,536,137,0.2555970149253731
15,JGOA,8,0.49720323,323,Bannwil,536,137,0.2555970149253731
16,ULO,6,0.37290242,323,Bannwil,536,137,0.2555970149253731
17,DM,4,0.24860162,323,Bannwil,536,137,0.2555970149253731
1,SP Frauen,167,8.375125,324,Bleienbach,604,170,0.2814569536423841
2,SP Männer,189,9.4784355,324,Bleienbach,604,170,0.2814569536423841
3,JUSO,11,0.55165493,324,Bleienbach,604,170,0.2814569536423841
4,EVP,30,1.5045135,324,Bleienbach,604,170,0.2814569536423841
5,jevp,2,0.1003009,324,Bleienbach,604,170,0.2814569536423841
6,EVP E,13,0.6519559,324,Bleienbach,604,170,0.2814569536423841
7,Die Mitte,165,8.274824,324,Bleienbach,604,170,0.2814569536423841
8,EDU,17,0.85255766,324,Bleienbach,604,170,0.2814569536423841
9,SVP,1033,51.80542,324,Bleienbach,604,170,0.2814569536423841
10,FDP,79,3.9618857,324,Bleienbach,604,170,0.2814569536423841
11,jll,21,1.0531595,324,Bleienbach,604,170,0.2814569536423841
12,GLP,115,5.767302,324,Bleienbach,604,170,0.2814569536423841
13,JGLP,12,0.60180545,324,Bleienbach,604,170,0.2814569536423841
14,Grüne,93,4.663992,324,Bleienbach,604,170,0.2814569536423841
15,JGOA,19,0.95285857,324,Bleienbach,604,170,0.2814569536423841
16,ULO,16,0.8024072,324,Bleienbach,604,170,0.2814569536423841
17,DM,12,0.60180545,324,Bleienbach,604,170,0.2814569536423841
1,SP Frauen,43,5.6878304,325,Busswil bei Melchnau,170,63,0.37058823529411766
2,SP Männer,17,2.2486773,325,Busswil bei Melchnau,170,63,0.37058823529411766
3,JUSO,5,0.66137564,325,Busswil bei Melchnau,170,63,0.37058823529411766
4,EVP,6,0.79365087,325,Busswil bei Melchnau,170,63,0.37058823529411766
5,jevp,1,0.13227513,325,Busswil bei Melchnau,170,63,0.37058823529411766
6,EVP E,9,1.1904762,325,Busswil bei Melchnau,170,63,0.37058823529411766
7,Die Mitte,34,4.4973545,325,Busswil bei Melchnau,170,63,0.37058823529411766
8,EDU,29,3.8359787,325,Busswil bei Melchnau,170,63,0.37058823529411766
9,SVP,437,57.804234,325,Busswil bei Melchnau,170,63,0.37058823529411766
10,FDP,44,5.820106,325,Busswil bei Melchnau,170,63,0.37058823529411766
11,jll,8,1.0582011,325,Busswil bei Melchnau,170,63,0.37058823529411766
12,GLP,32,4.2328043,325,Busswil bei Melchnau,170,63,0.37058823529411766
13,JGLP,0,0.0,325,Busswil bei Melchnau,170,63,0.37058823529411766
14,Grüne,47,6.2169313,325,Busswil bei Melchnau,170,63,0.37058823529411766
15,JGOA,4,0.52910054,325,Busswil bei Melchnau,170,63,0.37058823529411766
16,ULO,0,0.0,325,Busswil bei Melchnau,170,63,0.37058823529411766
17,DM,40,5.291005,325,Busswil bei Melchnau,170,63,0.37058823529411766
1,SP Frauen,126,6.025825,326,Gondiswil,615,176,0.2861788617886179
2,SP Männer,62,2.9650886,326,Gondiswil,615,176,0.2861788617886179
3,JUSO,18,0.86083215,326,Gondiswil,615,176,0.2861788617886179
4,EVP,84,4.0172167,326,Gondiswil,615,176,0.2861788617886179
5,jevp,7,0.33476806,326,Gondiswil,615,176,0.2861788617886179
6,EVP E,18,0.86083215,326,Gondiswil,615,176,0.2861788617886179
7,Die Mitte,130,6.217121,326,Gondiswil,615,176,0.2861788617886179
8,EDU,152,7.269249,326,Gondiswil,615,176,0.2861788617886179
9,SVP,1133,54.184597,326,Gondiswil,615,176,0.2861788617886179
10,FDP,115,5.4997606,326,Gondiswil,615,176,0.2861788617886179
11,jll,6,0.28694406,326,Gondiswil,615,176,0.2861788617886179
12,GLP,66,3.1563845,326,Gondiswil,615,176,0.2861788617886179
13,JGLP,28,1.3390722,326,Gondiswil,615,176,0.2861788617886179
14,Grüne,45,2.1520803,326,Gondiswil,615,176,0.2861788617886179
15,JGOA,26,1.2434242,326,Gondiswil,615,176,0.2861788617886179
16,ULO,27,1.2912482,326,Gondiswil,615,176,0.2861788617886179
17,DM,48,2.2955525,326,Gondiswil,615,176,0.2861788617886179
1,SP Frauen,3736,10.464107,329,Langenthal,10331,3047,0.29493756654728487
2,SP Männer,3750,10.503319,329,Langenthal,10331,3047,0.29493756654728487
3,JUSO,908,2.5432038,329,Langenthal,10331,3047,0.29493756654728487
4,EVP,1874,5.248859,329,Langenthal,10331,3047,0.29493756654728487
5,jevp,123,0.34450886,329,Langenthal,10331,3047,0.29493756654728487
6,EVP E,434,1.2155842,329,Langenthal,10331,3047,0.29493756654728487
7,Die Mitte,1621,4.5402346,329,Langenthal,10331,3047,0.29493756654728487
8,EDU,903,2.5291991,329,Langenthal,10331,3047,0.29493756654728487
9,SVP,8063,22.583536,329,Langenthal,10331,3047,0.29493756654728487
10,FDP,5812,16.278744,329,Langenthal,10331,3047,0.29493756654728487
11,jll,758,2.123071,329,Langenthal,10331,3047,0.29493756654728487
12,GLP,2951,8.265411,329,Langenthal,10331,3047,0.29493756654728487
13,JGLP,618,1.730947,329,Langenthal,10331,3047,0.29493756654728487
14,Grüne,2707,7.581996,329,Langenthal,10331,3047,0.29493756654728487
15,JGOA,802,2.2463098,329,Langenthal,10331,3047,0.29493756654728487
16,ULO,190,0.53216815,329,Langenthal,10331,3047,0.29493756654728487
17,DM,453,1.2688009,329,Langenthal,10331,3047,0.29493756654728487
1,SP Frauen,443,7.72046,331,Lotzwil,1834,485,0.2644492911668484
2,SP Männer,548,9.550365,331,Lotzwil,1834,485,0.2644492911668484
3,JUSO,88,1.5336354,331,Lotzwil,1834,485,0.2644492911668484
4,EVP,623,10.857441,331,Lotzwil,1834,485,0.2644492911668484
5,jevp,43,0.74939,331,Lotzwil,1834,485,0.2644492911668484
6,EVP E,241,4.2000694,331,Lotzwil,1834,485,0.2644492911668484
